nhood,open_2019,open_2020,open_2021,open_2022,open_2023,open_2024,open_2025,close_2019,close_2020,close_2021,close_2022,close_2023,close_2024,close_2025,median_income,pct_poc
Bayview Hunters Point,708,727,695,662,617,560,474,761,581,676,729,517,561,387,96121.0,0.9232720514366084
Bernal Heights,329,206,287,273,255,249,209,369,310,302,299,248,230,173,163135.0,0.587381193124368
Castro/Upper Market,440,422,405,420,389,512,416,485,459,421,407,301,351,264,202922.85714285713,0.3372230294224482
Chinatown,462,308,303,355,298,310,298,595,532,411,427,349,354,213,41245.0,0.9020088579563429
Excelsior,237,197,217,230,257,222,192,314,203,238,208,223,195,139,110043.875,0.8476592377686931
Financial District/South Beach,2582,1492,1665,1659,1710,1596,1548,3064,2500,2484,2126,1653,1475,1177,185568.6,0.616868550919695
Glen Park,78,81,65,114,105,79,96,116,74,85,86,74,72,65,181306.5,0.4525892646015607
Golden Gate Park,5,5,4,3,4,7,5,5,1,1,3,3,3,1,,
Haight Ashbury,244,182,191,183,203,219,242,325,239,262,236,174,198,141,197747.0,0.3215973003374578
Hayes Valley,373,267,296,292,267,292,226,419,365,381,353,244,231,182,133687.6,0.48349780701754386
Inner Richmond,241,212,254,218,232,233,205,328,282,325,258,204,221,165,169155.0,0.5368441834065446
Inner Sunset,308,235,253,234,207,249,228,373,287,305,301,212,207,209,163972.5,0.5636304205709305
Japantown,98,56,86,81,111,79,64,78,49,78,64,92,64,60,95909.0,0.6011178861788617
Lakeshore,130,89,106,85,103,96,97,141,111,102,100,82,82,71,78813.5,0.7240203011897828
Lincoln Park,1,3,2,2,1,0,0,1,3,1,0,0,0,0,,
Lone Mountain/USF,152,116,164,132,120,155,127,211,139,151,126,122,122,133,159541.5,0.47452248733752367
Marina,514,380,362,338,346,293,373,577,537,453,469,320,312,311,217669.22222222222,0.2722791050436102
McLaren Park,3,1,5,2,2,3,0,5,0,1,2,5,1,3,,
Mission,1157,815,980,1064,981,988,883,1442,1062,1221,1072,928,903,664,147945.75,0.6104242067939225
Mission Bay,495,392,314,353,269,388,347,393,379,337,304,266,292,257,182692.0,0.7304608019150209
Nob Hill,400,293,310,325,250,291,291,486,398,485,404,315,271,236,101869.44444444444,0.5845872651534473
Noe Valley,291,255,243,246,284,212,215,384,315,311,289,242,211,208,216642.16666666666,0.411673952172795
North Beach,315,169,217,226,228,193,162,421,328,248,310,250,215,157,132500.4,0.5966773941028094
Oceanview/Merced/Ingleside,170,135,194,155,159,139,147,214,150,193,165,111,125,144,131824.0,0.8742026645135245
Outer Mission,198,132,158,173,170,160,138,224,155,154,171,147,153,106,146244.8,0.8751669199244831
Outer Richmond,425,359,340,368,395,351,353,539,384,423,435,337,320,274,135499.45454545456,0.5942700174805331
Pacific Heights,349,299,317,299,322,298,299,454,423,431,353,363,248,220,192135.88888888888,0.3672963091922006
Portola,126,102,102,107,112,105,91,130,92,97,111,93,87,68,116969.25,0.8949093713844967
Potrero Hill,310,346,336,284,243,271,232,412,378,373,351,270,212,167,218959.6,0.5013904158313394
Presidio,87,63,80,79,59,47,51,76,81,69,59,50,31,42,236190.0,0.45351890756302526
Presidio Heights,183,143,204,138,125,123,149,246,218,203,225,158,155,109,186199.66666666666,0.3892576946288473
Russian Hill,276,176,213,213,227,200,230,339,249,267,264,198,212,167,161533.2857142857,0.39700219207299015
Seacliff,14,15,13,10,8,14,19,16,18,16,11,14,6,9,246635.0,0.4324100868127325
South of Market,1334,923,1115,904,590,563,575,1445,921,971,846,659,640,459,118240.57142857143,0.7295732447971496
Sunset/Parkside,686,578,598,584,561,501,538,808,584,648,673,535,495,415,144751.625,0.7008945729242595
Tenderloin,428,350,321,358,326,399,363,507,397,399,421,349,303,253,43887.0,0.6952732044112593
Treasure Island,45,39,44,40,29,46,43,97,31,144,69,26,42,25,91750.0,0.7037822552138565
Twin Peaks,75,50,57,42,55,58,44,77,67,77,77,40,36,35,170413.0,0.4772929652715939
Visitacion Valley,101,87,80,92,100,86,80,115,57,89,75,75,78,66,79518.2,0.9046168268104054
West of Twin Peaks,386,322,372,373,317,319,300,435,385,432,405,303,327,253,189274.57142857142,0.5639878531532997
Western Addition,246,207,179,179,198,185,165,295,221,243,255,174,164,124,137475.4,0.6303815825251518
