neighborhood,baseline,closures_2020_21,openings_2022_25,closure_rate,recovery_rate,resilience,median_income,pct_poc,population,pct_white,pct_black,pct_asian,pct_latina_o,pct_other
Japantown,828,127,335,0.15338164251207728,0.40458937198067635,0.25120772946859904,95909.0,0.6011178861788617,3936.0,0.3988821138211382,0.039634146341463415,0.32926829268292684,0.17784552845528456,0.014735772357723578
Glen Park,968,159,394,0.16425619834710745,0.40702479338842973,0.24276859504132228,181306.5,0.4525892646015607,8458.0,0.5474107353984393,0.06242610546228423,0.14897138803499646,0.11267439110900922,0.009931425868999763
Visitacion Valley,900,146,358,0.1622222222222222,0.3977777777777778,0.23555555555555557,79518.2,0.9046168268104054,17068.0,0.09538317318959456,0.0647410358565737,0.5875322240449965,0.21443637215842512,0.002226388563393485
Portola,1115,189,415,0.16950672645739912,0.3721973094170404,0.20269058295964126,116969.25,0.8949093713844967,15558.0,0.10509062861550328,0.025581694305180615,0.6216094613703561,0.20953850109268543,0.005142049106568968
Excelsior,2437,441,901,0.18096019696347967,0.3697168649979483,0.18875666803446864,110043.875,0.8476592377686931,37915.0,0.15234076223130688,0.015350125280232099,0.4934722405380456,0.30613213767638137,0.010760912567585388
Castro/Upper Market,4556,880,1737,0.19315188762071994,0.3812554872695347,0.18810359964881473,202922.85714285713,0.3372230294224482,22024.0,0.6627769705775518,0.025063567017798764,0.13612422811478386,0.09889211768979295,0.007855067199418815
Outer Mission,1769,309,641,0.17467495760316562,0.36235161107970604,0.18767665347654042,146244.8,0.8751669199244831,21717.0,0.12483308007551687,0.008656812635262698,0.5883869779435466,0.23442464428788506,0.014827093981673343
Mission Bay,3652,716,1357,0.19605695509309967,0.3715772179627601,0.17552026286966044,182692.0,0.7304608019150209,16710.0,0.26953919808497906,0.10155595451825254,0.45751047277079593,0.09856373429084381,0.011669658886894075
Lakeshore,1063,213,381,0.20037629350893696,0.3584195672624647,0.15804327375352775,78813.5,0.7240203011897828,12019.0,0.27597969881021717,0.06930693069306931,0.360845328230302,0.20725517929944254,0.020051584990431817
Tenderloin,4122,796,1446,0.193110140708394,0.3508005822416303,0.1576904415332363,43887.0,0.6952732044112593,32009.0,0.30472679558874066,0.08953731762941673,0.29301134056046735,0.2516479740073104,0.025274141647661594
Bayview Hunters Point,6793,1257,2313,0.18504342705726484,0.34049757102900047,0.15545414397173563,96121.0,0.9232720514366084,39816.0,0.0767279485633916,0.23344886477797872,0.39946252762708456,0.24444946755073338,0.0007785814747840065
